pdb,path,url,protein,virus,method,resolution,rmsd,rwork,rfree
5rh1,../pdb/3c_like_proteinase/SARS-CoV-2/5rh1,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rh1,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.96,,0.184,0.2429
5rfg,../pdb/3c_like_proteinase/SARS-CoV-2/5rfg,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rfg,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,2.32,,0.2121,0.3065
5r82,../pdb/3c_like_proteinase/SARS-CoV-2/5r82,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5r82,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.31,,0.1803,0.2116
5reu,../pdb/3c_like_proteinase/SARS-CoV-2/5reu,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5reu,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.69,,0.183,0.2323
5rgl,../pdb/3c_like_proteinase/SARS-CoV-2/5rgl,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rgl,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.76,,0.1804,0.2289
5re6,../pdb/3c_like_proteinase/SARS-CoV-2/5re6,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5re6,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.87,,0.1857,0.2505
5rfz,../pdb/3c_like_proteinase/SARS-CoV-2/5rfz,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rfz,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.68,,0.1808,0.2265
5rec,../pdb/3c_like_proteinase/SARS-CoV-2/5rec,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rec,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.73,,0.1826,0.2371
5rh2,../pdb/3c_like_proteinase/SARS-CoV-2/5rh2,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rh2,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.83,,0.1817,0.2302
5rfh,../pdb/3c_like_proteinase/SARS-CoV-2/5rfh,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rfh,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.58,,0.1886,0.2368
5r83,../pdb/3c_like_proteinase/SARS-CoV-2/5r83,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5r83,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.58,,0.1758,0.2149
5rev,../pdb/3c_like_proteinase/SARS-CoV-2/5rev,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rev,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.6,,0.1763,0.2217
5rgm,../pdb/3c_like_proteinase/SARS-CoV-2/5rgm,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rgm,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,2.04,,0.1739,0.2237
5re7,../pdb/3c_like_proteinase/SARS-CoV-2/5re7,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5re7,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.79,,0.1673,0.225
5red,../pdb/3c_like_proteinase/SARS-CoV-2/5red,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5red,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.47,,0.1814,0.2112
5rfi,../pdb/3c_like_proteinase/SARS-CoV-2/5rfi,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rfi,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.69,,0.1933,0.2423
5r84,../pdb/3c_like_proteinase/SARS-CoV-2/5r84,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5r84,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.83,,0.2167,0.2926
5rew,../pdb/3c_like_proteinase/SARS-CoV-2/5rew,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rew,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.55,,0.1848,0.2236
5re8,../pdb/3c_like_proteinase/SARS-CoV-2/5re8,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5re8,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.81,,0.1903,0.2483
6xch,../pdb/3c_like_proteinase/SARS-CoV-2/6xch,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/6xch,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,2.2,,0.197,0.237
5rfb,../pdb/3c_like_proteinase/SARS-CoV-2/5rfb,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rfb,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.48,,0.1833,0.2235
7buy,../pdb/3c_like_proteinase/SARS-CoV-2/7buy,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7buy,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.6,,0.1793,0.2012
5r8t,../pdb/3c_like_proteinase/SARS-CoV-2/5r8t,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5r8t,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.27,,0.1841,0.2081
7bqy,../pdb/3c_like_proteinase/SARS-CoV-2/7bqy,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7bqy,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.7,,0.1949,0.2257
7c8t,../pdb/3c_like_proteinase/SARS-CoV-2/7c8t,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7c8t,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,2.05,,0.1894,0.2426
6wnp,../pdb/3c_like_proteinase/SARS-CoV-2/6wnp,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/6wnp,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.44,,0.1807,0.1959
5rgg,../pdb/3c_like_proteinase/SARS-CoV-2/5rgg,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rgg,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,2.25,,0.1665,0.2165
5rex,../pdb/3c_like_proteinase/SARS-CoV-2/5rex,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rex,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,2.07,,0.1749,0.2507
6lnq,../pdb/3c_like_proteinase/SARS-CoV-2/6lnq,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/6lnq,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,2.244,,0.1992,0.2391
5rf6,../pdb/3c_like_proteinase/SARS-CoV-2/5rf6,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rf6,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.45,,0.1806,0.2174
5rgz,../pdb/3c_like_proteinase/SARS-CoV-2/5rgz,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rgz,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.52,,0.1801,0.209
5rfc,../pdb/3c_like_proteinase/SARS-CoV-2/5rfc,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rfc,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.4,,0.1795,0.2128
7c8u,../pdb/3c_like_proteinase/SARS-CoV-2/7c8u,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/7c8u,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,2.35,,0.2115,0.2728
5rgh,../pdb/3c_like_proteinase/SARS-CoV-2/5rgh,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rgh,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.7,,0.1654,0.2076
5rfv,../pdb/3c_like_proteinase/SARS-CoV-2/5rfv,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rfv,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.48,,0.1873,0.2236
5rf7,../pdb/3c_like_proteinase/SARS-CoV-2/5rf7,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rf7,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.54,,0.1804,0.2169
6xb1,../pdb/3c_like_proteinase/SARS-CoV-2/6xb1,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/6xb1,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.8,,0.1587,0.2019
5rfd,../pdb/3c_like_proteinase/SARS-CoV-2/5rfd,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rfd,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.41,,0.1776,0.211
6y7m,../pdb/3c_like_proteinase/SARS-CoV-2/6y7m,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/6y7m,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,1,1.9,,0.2062,0.2576
5rer,../pdb/3c_like_proteinase/SARS-CoV-2/5rer,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rer,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.88,,0.1872,0.2526
5rgi,../pdb/3c_like_proteinase/SARS-CoV-2/5rgi,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rgi,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.57,,0.1703,0.2117
5rfw,../pdb/3c_like_proteinase/SARS-CoV-2/5rfw,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rfw,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.43,,0.1895,0.2232
6wqf,../pdb/3c_like_proteinase/SARS-CoV-2/6wqf,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/6wqf,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,2.3,,0.1796,0.2296
6wtt,../pdb/3c_like_proteinase/SARS-CoV-2/6wtt,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/6wtt,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,2.15,,0.2145,0.3001
5rf8,../pdb/3c_like_proteinase/SARS-CoV-2/5rf8,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rf8,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.43,,0.1773,0.2132
6xb2,../pdb/3c_like_proteinase/SARS-CoV-2/6xb2,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/6xb2,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,2.1,,0.1956,0.2572
5rfe,../pdb/3c_like_proteinase/SARS-CoV-2/5rfe,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rfe,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.46,,0.1769,0.2136
5r80,../pdb/3c_like_proteinase/SARS-CoV-2/5r80,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5r80,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.92,,0.173,0.2346
5res,../pdb/3c_like_proteinase/SARS-CoV-2/5res,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5res,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.65,,0.1814,0.2263
5re4,../pdb/3c_like_proteinase/SARS-CoV-2/5re4,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5re4,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.89,,0.1991,0.2664
5rfx,../pdb/3c_like_proteinase/SARS-CoV-2/5rfx,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rfx,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.55,,0.1844,0.2163
6y84,../pdb/3c_like_proteinase/SARS-CoV-2/6y84,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/6y84,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.39,,0.1779,0.2
5rf9,../pdb/3c_like_proteinase/SARS-CoV-2/5rf9,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rf9,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.43,,0.182,0.2154
6lze,../pdb/3c_like_proteinase/SARS-CoV-2/6lze,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/6lze,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.5,,0.176,0.1989
5ret,../pdb/3c_like_proteinase/SARS-CoV-2/5ret,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5ret,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.68,,0.182,0.222
6m0k,../pdb/3c_like_proteinase/SARS-CoV-2/6m0k,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/6m0k,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.5,,0.1795,0.1931
5rf2,../pdb/3c_like_proteinase/SARS-CoV-2/5rf2,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rf2,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.53,,0.1817,0.2216
5rfy,../pdb/3c_like_proteinase/SARS-CoV-2/5rfy,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rfy,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.9,,0.2098,0.2767
5rgv,../pdb/3c_like_proteinase/SARS-CoV-2/5rgv,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rgv,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.82,,0.1871,0.2319
5rem,../pdb/3c_like_proteinase/SARS-CoV-2/5rem,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV-2/5rem,3c_like_proteinase,SARS-CoV-2,X-RAY DIFFRACTION,0,1.96,,0.175,0.2464
2a5a,../pdb/3c_like_proteinase/SARS-CoV/2a5a,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/2a5a,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,2.08,,0.19171,0.24638
2duc,../pdb/3c_like_proteinase/SARS-CoV/2duc,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/2duc,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,1.7,,0.194,0.221
2z9j,../pdb/3c_like_proteinase/SARS-CoV/2z9j,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/2z9j,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,1.95,,0.194,0.248
2c3s,../pdb/3c_like_proteinase/SARS-CoV/2c3s,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/2c3s,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,1.9,,0.2256,0.2643
3m3v,../pdb/3c_like_proteinase/SARS-CoV/3m3v,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/3m3v,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,2.1,,0.2005,0.2736
3v3m,../pdb/3c_like_proteinase/SARS-CoV/3v3m,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/3v3m,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,1.65,,0.18894,0.23572
3fzd,../pdb/3c_like_proteinase/SARS-CoV/3fzd,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/3fzd,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,2.35,,0.214,0.277
2vj1,../pdb/3c_like_proteinase/SARS-CoV/2vj1,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/2vj1,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,2.25,,0.183,0.256
4hi3,../pdb/3c_like_proteinase/SARS-CoV/4hi3,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/4hi3,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,2.09,,0.18987,0.24138
2z9k,../pdb/3c_like_proteinase/SARS-CoV/2z9k,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/2z9k,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,1.85,,0.187,0.224
5c5n,../pdb/3c_like_proteinase/SARS-CoV/5c5n,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/5c5n,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,1.65,,0.28999,0.32142
3ea9,../pdb/3c_like_proteinase/SARS-CoV/3ea9,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/3ea9,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,2.3,,0.199,0.261
5c5o,../pdb/3c_like_proteinase/SARS-CoV/5c5o,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/5c5o,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,1.5,,0.2467,0.2714
2z3c,../pdb/3c_like_proteinase/SARS-CoV/2z3c,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/2z3c,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,1.79,,0.19049,0.2387
3vb5,../pdb/3c_like_proteinase/SARS-CoV/3vb5,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/3vb5,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,1.95,,0.2045,0.232
4tww,../pdb/3c_like_proteinase/SARS-CoV/4tww,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/4tww,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,2.41,,0.2317,0.261
5n5o,../pdb/3c_like_proteinase/SARS-CoV/5n5o,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/5n5o,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,2.0,,0.19222,0.25152
2z3d,../pdb/3c_like_proteinase/SARS-CoV/2z3d,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/2z3d,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,2.1,,0.19812,0.24813
3vb6,../pdb/3c_like_proteinase/SARS-CoV/3vb6,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/3vb6,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,2.5,,0.1881,0.2453
3vb7,../pdb/3c_like_proteinase/SARS-CoV/3vb7,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/3vb7,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,1.95,,0.1875,0.2304
2alv,../pdb/3c_like_proteinase/SARS-CoV/2alv,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/2alv,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,1.89,,0.255,0.315
2z9g,../pdb/3c_like_proteinase/SARS-CoV/2z9g,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/2z9g,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,1.86,,0.193,0.232
2liz,../pdb/3c_like_proteinase/SARS-CoV/2liz,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/2liz,3c_like_proteinase,SARS-CoV,SOLUTION NMR,0,,,,
3m3s,../pdb/3c_like_proteinase/SARS-CoV/3m3s,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/3m3s,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,2.3,,0.1959,0.257
4twy,../pdb/3c_like_proteinase/SARS-CoV/4twy,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/4twy,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,1.6,,0.2901,0.3187
2qcy,../pdb/3c_like_proteinase/SARS-CoV/2qcy,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/2qcy,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,1.75,,0.168,0.208
2z94,../pdb/3c_like_proteinase/SARS-CoV/2z94,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/3c_like_proteinase/SARS-CoV/2z94,3c_like_proteinase,SARS-CoV,X-RAY DIFFRACTION,0,1.78,,0.191,0.224
